"nta","lat","lon"
"BK88",40.63095,-73.988661
"QN51",40.768352,-73.809546
"QN27",40.763352,-73.868396
"QN07",40.710639,-73.761137
"MN06",40.817976,-73.953782
"BK25",40.599954,-73.964334
"BX59",40.8321,-73.848643
"BK95",40.646116,-73.951623
"QN41",40.734894,-73.783716
"QN08",40.691202,-73.763146
"BX33",40.819675,-73.898957
"QN06",40.720655,-73.776101
"BK44",40.604914,-73.948136
"BK41",40.64059,-73.976199
"BK69",40.687967,-73.962363
"QN61",40.704369,-73.79398
"QN01",40.694427,-73.790964
"BX10",40.846568,-73.806537
"QN33",40.694341,-73.735554
"BK43",40.620924,-73.956825
"BK72",40.703917,-73.958597
"BK26",40.588403,-73.981431
"BK29",40.601429,-73.983538
"BK75",40.691507,-73.949905
"BK35",40.688168,-73.931888
"BK79",40.676638,-73.913648
"BK61",40.674469,-73.939287
"BK63",40.666539,-73.948784
"BK96",40.652365,-73.922251
"BX31",40.864472,-73.847425
"BK93",40.647526,-73.882413
"BK91",40.643947,-73.93793
"BK78",40.696459,-73.925115
"BX41",40.849058,-73.905122
"BK77",40.700561,-73.917766
"QN20",40.706531,-73.901715
"BK46",40.617315,-73.970326
"BK68",40.690795,-73.974881
"QN68",40.757562,-73.93875
"BX08",40.834165,-73.872287
"BX46",40.837747,-73.857989
"BX55",40.8279,-73.869682
"BK30",40.622438,-74.012094
"QN19",40.703535,-73.875748
"BX28",40.876513,-73.895622
"QN38",40.728333,-73.802445
"BK85",40.666559,-73.895364
"MN15",40.764166,-73.992393
"QN34",40.715455,-73.741532
"SI12",40.631308,-74.167239
"QN26",40.75258,-73.863036
"QN43",40.735488,-73.726657
"QN21",40.718338,-73.880053
"BX06",40.85778,-73.885867
"QN29",40.739495,-73.877118
"QN66",40.675917,-73.744524
"MN22",40.72762,-73.985935
"BX62",40.897931,-73.852215
"BX07",40.864005,-73.864901
"BK23",40.579089,-73.973391
"QN55",40.676155,-73.819459
"BK27",40.60427,-74.007487
"BK28",40.612219,-73.995259
"MN21",40.736824,-73.984054
"QN30",40.723995,-73.90233
"SI48",40.552659,-74.188483
"QN50",40.738316,-73.892173
"QN23",40.780923,-73.842806
"BX44",40.882156,-73.858949
"BX98",40.79113,-73.882655
"BK73",40.714916,-73.958625
"BK81",40.664002,-73.910255
"BX52",40.823332,-73.823588
"QN54",40.694541,-73.830926
"MN27",40.715607,-73.99463
"SI01",40.528667,-74.1877
"MN25",40.708007,-74.010245
"QN53",40.688722,-73.855767
"MN14",40.774847,-73.984699
"MN17",40.755734,-73.983503
"MN40",40.77473,-73.961174
"BK60",40.658744,-73.947442
"BX26",40.837826,-73.926159
"BK21",40.576483,-73.991236
"BX22",40.899535,-73.906985
"BX09",40.818055,-73.856188
"BX29",40.882406,-73.910667
"BK40",40.653612,-73.977983
"BK64",40.677645,-73.967588
"BK50",40.638041,-73.89975
"BK42",40.6379,-73.960968
"BK58",40.626273,-73.930097
"QN44",40.745994,-73.711027
"QN45",40.763846,-73.737011
"BK37",40.671228,-73.983903
"SI11",40.525508,-74.233544
"SI32",40.540334,-74.207828
"MN03",40.818257,-73.940772
"BK82",40.660947,-73.876839
"BX35",40.827512,-73.902352
"MN01",40.86791,-73.917649
"BK83",40.682178,-73.878334
"MN32",40.777316,-73.948703
"QN48",40.751035,-73.787949
"QN52",40.754109,-73.807294
"BX34",40.81826,-73.91285
"BX39",40.807347,-73.916821
"MN24",40.720766,-74.004747
"MN23",40.733045,-74.001547
"MN13",40.747585,-73.999021
"BX40",40.858154,-73.899537
"MN12",40.79038,-73.973908
"BX43",40.877142,-73.879021
"BX05",40.867682,-73.890184
"BX03",40.880935,-73.836643
"BX13",40.873965,-73.828272
"BX17",40.844966,-73.885523
"BK17",40.5883,-73.941511
"QN10",40.571457,-73.876544
"QN12",40.594061,-73.789618
"SI08",40.617973,-74.087839
"SI37",40.618727,-74.073704
"QN03",40.662188,-73.76449
"QN05",40.657842,-73.739455
"SI25",40.561995,-74.122583
"SI45",40.57177,-74.10501
"BK90",40.715369,-73.936797
"SI14",40.600321,-74.071776
"SI36",40.586792,-74.085513
"QN15",40.602455,-73.755317
"QN70",40.761494,-73.919697
"BK09",40.695469,-73.994871
"MN09",40.807886,-73.962544
"BK38",40.692927,-73.985987
"BK45",40.614579,-73.915245
"BK99",40.62314,-73.918565
"MN33",40.790011,-73.945751
"BX37",40.846783,-73.850668
"BX49",40.854405,-73.854395
"BK33",40.678772,-74.003899
"BK76",40.7295,-73.949517
"QN46",40.762739,-73.773422
"BX63",40.828993,-73.924405
"MN04",40.827014,-73.948522
"MN36",40.841708,-73.941398
"MN35",40.857106,-73.932833
"MN19",40.754314,-73.969019
"QN31",40.739773,-73.931212
"QN22",40.761093,-73.828866
"QN49",40.788191,-73.815643
"MN31",40.764964,-73.955088
"QN71",40.77157,-73.928333
"MN99",40.787976,-73.954783
"QN72",40.777417,-73.905406
"QN98",40.66462,-73.798625
"QN47",40.783333,-73.785973
"SI05",40.595928,-74.17639
"SI24",40.58656,-74.132974
"MN11",40.804332,-73.951293
"MN34",40.801168,-73.937346
"QN02",40.67209,-73.773036
"QN76",40.678954,-73.790987
"BK34",40.641889,-74.004646
"BX30",40.865266,-73.905911
"QN42",40.742676,-73.754615
"BX36",40.852522,-73.915974
"BK31",40.624847,-74.029883
"BK32",40.652373,-74.01125
"SI54",40.55186,-74.15089
"SI99",40.546587,-74.12636
"SI35",40.63005,-74.102861
"SI22",40.638971,-74.102311
"QN56",40.675599,-73.847049
"QN57",40.65817,-73.844885
"QN25",40.742349,-73.858371
"QN62",40.743082,-73.819649
"QN37",40.726399,-73.818668
"QN99",40.689595,-73.831486
"BX27",40.812078,-73.885535
"BX75",40.833996,-73.885897
"SI07",40.616884,-74.125353
"SI28",40.628167,-74.140788
"MN28",40.717841,-73.980912
"BK19",40.580923,-73.961216
"QN17",40.721432,-73.847673
"QN18",40.726155,-73.863339
"MN20",40.744195,-73.977483
"QN60",40.708057,-73.8287
"QN28",40.757312,-73.885321
"QN63",40.749278,-73.903731
"MN50",40.731811,-73.976563
"BX01",40.842749,-73.900317
"BX14",40.830511,-73.915789
"BX99",40.87246,-73.848118
"QN35",40.711595,-73.808711
